序号,职业名称,卡通场景描述（配图参考）,职业介绍（给小朋友看）
39,农民,田地，插秧、收割、种蔬菜,在田里种粮食、蔬菜、水果，让我们有饭吃。
40,建筑工人,工地，安全帽，盖高楼、砌墙,戴着安全帽盖房子、修马路，建设美丽城市。
41,工厂工人,流水线，生产玩具、家电,在工厂里生产衣服、玩具、家电等日常用品。
42,电工,修电线、装电灯，工具包,安装和修理电线、电灯，保证家里有电可用。
43,水管工,修理水管、水龙头，解决漏水,修水管、通马桶，解决家里用水的小麻烦。
44,木匠,锯子、锤子，做桌椅柜子,用木头制作桌子、椅子、柜子等家具。
45,汽修工,修理厂，修汽车，换零件,检查修理故障汽车，让车子能正常行驶。
46,列车员,高铁车厢内，检票、服务乘客,在火车或高铁上为大家检票、指路，照顾乘客。
47,公交车司机,驾驶公交车，按路线行驶,开公交车接送大家，方便日常出行。
48,船长,轮船驾驶台，大海航行,驾驶轮船在大海上航行，运送乘客和货物。
49,列车司机,高铁驾驶舱，开火车,驾驶高铁和火车，安全把大家送到目的地。
50,月嫂,家中，照顾宝宝和新妈妈,专业照顾小宝宝和刚生完宝宝的妈妈。
51,健身教练,健身房，指导运动、练肌肉,教大家科学锻炼身体，让身体更强壮。
52,化妆师,化妆台，给人化妆、做造型,在婚礼、舞台上帮人化妆，让人变得更漂亮。
53,婚礼策划师,婚礼现场，布置场地、安排流程,帮新人设计浪漫婚礼，安排所有细节。
54,宠物美容师,给小狗小猫洗澡、剪毛,帮宠物洗澡、剪毛，让小动物干净又可爱。
55,翻译员,会议 / 交流现场，语言翻译,帮助不同国家的人说话沟通，消除语言障碍。
